GEOID,name,population,groupQuarters_population,pop_below_fpl,pop_above_fpl
41039002903,"Census Tract 29.03, Lane County, Oregon",2565,8,195,2370
41039002904,"Census Tract 29.04, Lane County, Oregon",3484,117,603,2789
41039003000,"Census Tract 30, Lane County, Oregon",4640,26,383,4257
41039003101,"Census Tract 31.01, Lane County, Oregon",5880,125,1024,4807
41039003102,"Census Tract 31.02, Lane County, Oregon",7042,110,2532,4418
41039003201,"Census Tract 32.01, Lane County, Oregon",3160,85,1036,2033
41039003202,"Census Tract 32.02, Lane County, Oregon",3706,27,707,2999
41039003301,"Census Tract 33.01, Lane County, Oregon",3354,18,799,2495
41039003302,"Census Tract 33.02, Lane County, Oregon",3390,70,1056,2270
41039003400,"Census Tract 34, Lane County, Oregon",5349,36,1523,3777
41039003500,"Census Tract 35, Lane County, Oregon",4163,33,297,3853
41039003600,"Census Tract 36, Lane County, Oregon",3498,16,613,2885
41039003700,"Census Tract 37, Lane County, Oregon",4803,3202,950,836
41039003800,"Census Tract 38, Lane County, Oregon",7551,1119,5188,1347
41039003900,"Census Tract 39, Lane County, Oregon",3046,359,1196,1531
41039004000,"Census Tract 40, Lane County, Oregon",2337,52,722,1615
41039004100,"Census Tract 41, Lane County, Oregon",3953,31,691,3255
41039004200,"Census Tract 42, Lane County, Oregon",3687,385,1579,1987
41039004300,"Census Tract 43, Lane County, Oregon",7188,84,2414,4774
41039004401,"Census Tract 44.01, Lane County, Oregon",5465,109,1001,4378
41039004403,"Census Tract 44.03, Lane County, Oregon",4955,80,1180,3681
41039004404,"Census Tract 44.04, Lane County, Oregon",3262,0,369,2889
41039004405,"Census Tract 44.05, Lane County, Oregon",4696,82,409,4190
41039004501,"Census Tract 45.01, Lane County, Oregon",2872,37,697,2130
41039004502,"Census Tract 45.02, Lane County, Oregon",3568,74,896,2632
41039004600,"Census Tract 46, Lane County, Oregon",2812,7,500,2305
41039004700,"Census Tract 47, Lane County, Oregon",4305,0,1281,3018
41039004800,"Census Tract 48, Lane County, Oregon",4942,177,2694,2106
41039004900,"Census Tract 49, Lane County, Oregon",4293,231,1197,2967
41039005000,"Census Tract 50, Lane County, Oregon",5238,8,951,4287
41039005100,"Census Tract 51, Lane County, Oregon",3179,37,645,2497
41039005200,"Census Tract 52, Lane County, Oregon",2168,0,172,1973
41039005300,"Census Tract 53, Lane County, Oregon",2295,21,123,2148
41039005400,"Census Tract 54, Lane County, Oregon",5665,29,190,5362
41039990000,"Census Tract 9900, Lane County, Oregon",0,0,0,0
41041950100,"Census Tract 9501, Lincoln County, Oregon",3319,0,636,2683
41041950303,"Census Tract 9503.03, Lincoln County, Oregon",1540,0,341,1195
41041950304,"Census Tract 9503.04, Lincoln County, Oregon",3480,61,699,2698
41041950400,"Census Tract 9504, Lincoln County, Oregon",3847,15,853,2895
41041950601,"Census Tract 9506.01, Lincoln County, Oregon",2040,10,463,1577
41041950602,"Census Tract 9506.02, Lincoln County, Oregon",2190,9,305,1885
41041950800,"Census Tract 9508, Lincoln County, Oregon",3337,0,590,2739
41041950900,"Census Tract 9509, Lincoln County, Oregon",3859,17,793,3066
41041951000,"Census Tract 9510, Lincoln County, Oregon",2037,211,454,1406
41041951100,"Census Tract 9511, Lincoln County, Oregon",1581,31,204,1346
41041951200,"Census Tract 9512, Lincoln County, Oregon",1983,7,255,1721
41041951300,"Census Tract 9513, Lincoln County, Oregon",2237,5,290,1912
41041951400,"Census Tract 9514, Lincoln County, Oregon",2891,16,542,2293
41041951500,"Census Tract 9515, Lincoln County, Oregon",2735,0,389,2346
41041951600,"Census Tract 9516, Lincoln County, Oregon",3518,6,568,2950
41041951700,"Census Tract 9517, Lincoln County, Oregon",1949,193,344,1509
